rank,rank_change,app_name,publisher_name,biz_category_sub,value
6,-1.0,ROBLOX,Roblox Corporation,어드벤처게임,1.51
7,-1.0,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,8.17
8,-1.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-7.39
9,-1.0,Minecraft,Mojang,액션게임,-0.13
10,-1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,1.62
11,-1.0,클래시 로얄,Supercell,전략게임,-1.34
12,-1.0,클래시 오브 클랜,Supercell,전략게임,-1.44
13,-1.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-3.01
14,6.0,좀비고등학교,AWESOMEPIECE,아케이드게임,15.68
15,-1.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,0.41
16,-3.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,-2.76
17,-2.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.19
18,-2.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,2.03
19,-2.0,캔디크러쉬사가,King,캐주얼게임,-0.1
20,-2.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.87
21,-2.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-3.27
22,-1.0,LoL+,"Riot Games, Inc",게임커뮤니티,-1.0
23,3.0,AFK 아레나,LilithGames,롤플레잉게임,4.08
24,1.0,무한의 계단,NFLY STUDIO,아케이드게임,-0.01
25,-1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.3
26,-3.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-1.48
27,1.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,8.46
28,-6.0,라그나로크 오리진,"GRAVITY Co., Ltd.",롤플레잉게임,-18.65
29,2.0,궁수의 전설,Habby,액션게임,12.67
30,-3.0,리니지M,NCSOFT,롤플레잉게임,-7.63
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-2.97
2,,브롤스타즈,Supercell,액션게임,-4.6
3,1.0,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-4.08
4,-1.0,바람의나라: 연,NEXON Company,롤플레잉게임,-9.7
5,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,0.6
