,tablescraper-selected-row,name,tablescraper-selected-row 2,tablescraper-selected-row 3,num,num 2,num 3,num 4,tablescraper-selected-row 5
12,7.0,던전앤파이터,액션,62.78,"8,378","1,020,777",118.0,"515,716",넥슨
14,8.0,스타크래프트 리마스터,RTS,4.04,"8,436","691,543",79.0,"528,631",블리자드
16,9.0,로스트아크,RPG,11.99,"5,891","509,267",168.0,"182,411",스마일게이트
18,10.0,카트라이더,레이싱,99.26,"8,435","387,362",36.0,"645,654",넥슨
20,11.0,리니지,RPG,6.49,"3,845","275,552",158.0,"104,446",엔씨소프트
22,12.0,리니지2,RPG,5.48,"2,095","232,682",311.0,"45,276",엔씨소프트
24,13.0,월드 오브 워크래프트,RPG,4.82,"3,990","204,872",142.0,"86,576",블리자드
26,14.0,사이퍼즈,액션,11.47,"4,516","186,489",119.0,"94,269",넥슨
28,15.0,GTA 5,액션,9.53,"3,667","154,802",85.0,"109,365",스팀
30,16.0,Monster Hunter : World,액션,8.75,"3,122","142,207",125.0,"68,091",스팀
32,17.0,워크래프트3 리포지드,RTS,0.82,"3,656","139,252",94.0,"89,730",블리자드
34,18.0,레인보우식스 시즈,FPS,1.7,"4,089","134,612",78.0,"104,673",네오위즈/스팀
36,19.0,테일즈런너,스포츠,4.64,"4,918","121,361",50.0,"148,200",스마일게이트
38,20.0,블레이드 & 소울,RPG,2.68,"2,726","113,591",122.0,"55,330",엔씨소프트
40,21.0,패스 오브 엑자일,RPG,2.5,"2,548","105,982",141.0,"44,990",카카오/그라인딩 기어 게임즈
42,22.0,스타크래프트2,RTS,0.62,"4,355","105,057",79.0,"80,624",블리자드
44,23.0,크레이지아케이드,아케이드,71.74,"4,953","97,977",38.0,"156,367",넥슨
46,24.0,검은사막,RPG,2.14,"2,435","90,675",140.0,"38,841",(주)펄어비스
48,25.0,디아블로3,RPG,2.06,"3,099","87,281",106.0,"49,382",블리자드
50,26.0,파이널판타지14,RPG,1.87,"2,044","79,428",154.0,"31,052",액토즈소프트
52,27.0,아이온,RPG,1.86,"1,896","78,723",131.0,"36,239",엔씨소프트
54,28.0,콜 오브 듀티: 모던 워페어,FPS,0.93,"2,849","73,206",54.0,"82,670",블리자드
56,29.0,히어로즈 오브 더 스톰,RTS,0.41,"2,648","69,769",99.0,"42,275",블리자드
58,30.0,스페셜포스,FPS,0.78,"2,157","61,786",111.0,"33,496",네오위즈
0,1.0,리그 오브 레전드,RTS,93.29,"9,132","12,792,965",103.0,"7,565,130",라이엇게임즈
2,2.0,배틀그라운드,FPS,38.42,"8,748","2,314,995",83.0,"1,679,183",카카오/스팀
4,3.0,FIFA 온라인 4,스포츠,91.33,"8,965","1,826,310",64.0,"1,702,401",넥슨
6,4.0,서든어택,FPS,27.45,"8,774","1,653,975",73.0,"1,363,032",넥슨
8,5.0,오버워치,FPS,27.42,"8,668","1,652,203",92.0,"1,079,532",블리자드
10,6.0,메이플스토리,RPG,36.15,"8,464","1,182,104",104.0,"670,862",넥슨
12,7.0,던전앤파이터,액션,59.59,"7,613","622,061",111.0,"331,949",넥슨
14,8.0,스타크래프트 리마스터,RTS,4.33,"8,101","593,703",82.0,"437,159",블리자드
16,9.0,로스트아크,RPG,13.09,"5,350","427,917",162.0,"158,982",스마일게이트
18,10.0,카트라이더,레이싱,99.1,"7,852","262,727",38.0,"416,289",넥슨
20,11.0,리니지,RPG,7.65,"3,468","250,117",162.0,"92,842",엔씨소프트
22,12.0,리니지2,RPG,6.93,"1,847","226,522",332.0,"41,596",엔씨소프트
24,13.0,월드 오브 워크래프트,RPG,5.67,"3,528","185,316",150.0,"74,012",블리자드
26,14.0,사이퍼즈,액션,13.66,"3,693","142,527",125.0,"68,661",넥슨
28,15.0,워크래프트3 리포지드,RTS,0.93,"3,291","126,914",99.0,"77,324",블리자드
30,16.0,블레이드 & 소울,RPG,3.36,"2,648","109,829",119.0,"55,229",엔씨소프트
32,17.0,GTA 5,액션,8.87,"2,673","92,578",89.0,"62,548",스팀
34,18.0,Monster Hunter : World,액션,8.72,"2,216","90,973",134.0,"40,940",스팀
36,19.0,테일즈런너,스포츠,4.43,"4,055","88,559",52.0,"104,080",스마일게이트
38,20.0,스타크래프트2,RTS,0.63,"3,685","85,730",84.0,"61,236",블리자드
40,21.0,패스 오브 엑자일,RPG,2.35,"1,920","76,819",144.0,"31,966",카카오/그라인딩 기어 게임즈
42,22.0,레인보우식스 시즈,FPS,1.26,"2,845","75,830",80.0,"57,090",네오위즈/스팀
44,23.0,아이온,RPG,2.29,"1,768","74,865",134.0,"33,633",엔씨소프트
46,24.0,검은사막,RPG,2.28,"1,996","74,313",147.0,"30,466",(주)펄어비스
48,25.0,크레이지아케이드,아케이드,67.29,"4,190","73,188",41.0,"108,359",넥슨
50,26.0,디아블로3,RPG,2.21,"2,546","71,965",110.0,"39,264",블리자드
52,27.0,스페셜포스,FPS,0.98,"1,923","58,648",117.0,"30,108",네오위즈
54,28.0,아키에이지,RPG,1.77,930,"57,747",95.0,"36,359",넥슨
56,29.0,파이널판타지14,RPG,1.72,"1,518","55,959",161.0,"20,880",액토즈소프트
58,30.0,히어로즈 오브 더 스톰,RTS,0.39,"2,100","52,473",103.0,"30,598",블리자드
0,1.0,리그 오브 레전드,RTS,93.43,"9,084","12,855,799",108.0,"7,158,685",라이엇게임즈
2,2.0,배틀그라운드,FPS,36.37,"8,684","2,238,762",86.0,"1,560,285",카카오/스팀
4,3.0,서든어택,FPS,30.99,"8,744","1,907,227",76.0,"1,519,772",넥슨
6,4.0,FIFA 온라인 4,스포츠,90.99,"8,923","1,870,762",63.0,"1,784,753",넥슨
8,5.0,오버워치,FPS,26.08,"8,606","1,605,253",95.0,"1,023,048",블리자드
10,6.0,메이플스토리,RPG,34.28,"8,298","1,061,181",106.0,"602,655",넥슨
12,7.0,스타크래프트 리마스터,RTS,4.23,"8,075","581,445",81.0,"432,208",블리자드
14,8.0,던전앤파이터,액션,59.49,"7,536","575,774",108.0,"316,895",넥슨
16,9.0,로스트아크,RPG,12.3,"5,208","380,757",152.0,"150,552",스마일게이트
18,10.0,카트라이더,레이싱,98.97,"7,690","249,833",39.0,"388,306",넥슨
20,11.0,리니지,RPG,8.07,"3,396","249,791",164.0,"91,597",엔씨소프트
22,12.0,리니지2,RPG,7.58,"1,756","234,664",348.0,"40,664",엔씨소프트
24,13.0,월드 오브 워크래프트,RPG,5.81,"3,474","179,727",150.0,"72,141",블리자드
26,14.0,사이퍼즈,액션,14.28,"3,570","138,211",126.0,"66,214",넥슨
28,15.0,워크래프트3 리포지드,RTS,0.94,"3,295","128,460",100.0,"77,749",블리자드
30,16.0,블레이드 & 소울,RPG,3.57,"2,547","110,355",128.0,"51,494",엔씨소프트
32,17.0,테일즈런너,스포츠,4.7,"4,199","96,524",53.0,"111,519",스마일게이트
34,18.0,Monster Hunter : World,액션,8.63,"2,081","83,434",134.0,"37,472",스팀
36,19.0,스타크래프트2,RTS,0.6,"3,594","82,132",84.0,"59,181",블리자드
38,20.0,GTA 5,액션,8.28,"2,529","80,130",87.0,"55,364",스팀
40,21.0,검은사막,RPG,2.41,"1,925","74,362",150.0,"29,700",(주)펄어비스
42,22.0,레인보우식스 시즈,FPS,1.21,"2,801","74,015",81.0,"54,940",네오위즈/스팀
44,23.0,아이온,RPG,2.34,"1,712","72,297",133.0,"32,772",엔씨소프트
