,Unnamed: 0,week_num,rank,column-1 2,name,company,type
2473,2473,62,14,(-),리니지,㈜엔씨소프트,MMORPG
2474,2474,62,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2475,2475,62,16,(-),사이퍼즈,㈜넥슨코리아,액션
2476,2476,62,17,(-),패스 오브 엑자일,㈜카카오게임즈,ARPG
2477,2477,62,18,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2478,2478,62,19,(-),블레이드앤소울,㈜엔씨소프트,MMORPG
2479,2479,62,20,(-),스타크래프트: 브루드 워,블리자드 엔터테인먼트 코리아,RTS
2480,2480,61,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2481,2481,61,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2482,2482,61,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2483,2483,61,4,(-),아이온,㈜엔씨소프트,MMORPG
2484,2484,61,5,(-),메이플스토리,㈜넥슨코리아,MMORPG
2485,2485,61,6,(-),서든어택,㈜넥슨코리아,FPS
2486,2486,61,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2487,2487,61,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2488,2488,61,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2489,2489,61,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2490,2490,61,11,(-),카트라이더,㈜넥슨코리아,레이싱
2491,2491,61,12,(-),발로란트,라이엇 게임즈,FPS
2492,2492,61,13,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2493,2493,61,14,(-),리니지,㈜엔씨소프트,MMORPG
2494,2494,61,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2495,2495,61,16,(-),사이퍼즈,㈜넥슨코리아,액션
2496,2496,61,17,(+1),테일즈런너,㈜스마일게이트메가포트,레이싱
2497,2497,61,18,(-1),패스 오브 엑자일,㈜카카오게임즈,ARPG
2498,2498,61,19,(+1),스타크래프트: 브루드 워,블리자드 엔터테인먼트 코리아,RTS
2499,2499,61,20,(-1),블레이드앤소울,㈜엔씨소프트,MMORPG
2500,2500,60,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2501,2501,60,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2502,2502,60,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2503,2503,60,4,(-),아이온,㈜엔씨소프트,MMORPG
2504,2504,60,5,(-),메이플스토리,㈜넥슨코리아,MMORPG
2505,2505,60,6,(-),서든어택,㈜넥슨코리아,FPS
2506,2506,60,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2507,2507,60,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2508,2508,60,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2509,2509,60,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2510,2510,60,11,(-),카트라이더,㈜넥슨코리아,레이싱
2511,2511,60,12,(-),발로란트,라이엇 게임즈,FPS
2512,2512,60,13,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2513,2513,60,14,(-),리니지,㈜엔씨소프트,MMORPG
